id,pdes,spkid,full_name,name,albedo,pha,H,spec_B,spec_T,e,a,i,om,w,ma,epoch_mjd,GM
bK15C13X,"2015 CX13",3710230,"       (2015 CX13)",,,N,21.7,,,.5090497136259845,1.790382043944803,31.66920855332424,149.9574580112442,74.14825911831805,335.8770588413979,57068,
bK15C13Z,"2015 CZ13",3710245,"       (2015 CZ13)",,,Y,19.0,,,.7625425390700039,2.805607628053001,19.03656071044841,145.8848833812558,77.42260390324887,302.7358126691165,58600,
bK15C14A,"2015 CA14",3710246,"       (2015 CA14)",,,N,22.9,,,.2950672809832433,1.581278583768385,33.03605958991159,328.0937264299228,158.4669999830915,48.6203515043812,58600,
bK15C14C,"2015 CC14",3710247,"       (2015 CC14)",,,N,20.2,,,.3492459413131372,1.954980341361727,31.25165171227783,322.7231192073816,105.5732183434943,226.0383778483711,58600,
bK15C39Z,"2015 CZ39",3710557,"       (2015 CZ39)",,,N,23.0,,,.663037609559217,2.347785990354203,1.98659406769544,94.34090796095026,324.1217674396256,17.91856738474592,57071,
bK15C40A,"2015 CA40",3710558,"       (2015 CA40)",,,N,24.6,,,.08938979570484847,1.103143908625691,15.00842161129169,334.859969521279,177.0087945458122,218.2816067801754,58600,
bK15C58T,"2015 CT58",3710911,"       (2015 CT58)",,,N,20.9,,,.3614428704898257,1.90421665500024,30.43099222917872,7.684915941737747,155.8712505119021,211.1620547975851,58600,
bK15C58U,"2015 CU58",3710912,"       (2015 CU58)",,,N,19.3,,,.5211104999042449,2.371093185609736,12.83036082663549,164.8326272587537,83.43141350092516,14.08504983241831,58600,
bK15C62G,"2015 CG62",3715414,"       (2015 CG62)",,,N,21.6,,,.1883526188540311,1.495942459722104,1.832038913306959,336.9077050388173,163.8773682110456,109.5869382117387,58600,
bK15C62N,"2015 CN62",3777663,"       (2015 CN62)",,,N,20.0,,,.2225766237916476,1.476009089896559,5.476468762868553,326.6059747171363,239.1797196356993,81.58819878402097,58600,
bK15D00B,"2015 DB",3710559,"       (2015 DB)",,,N,27.7,,,.4337799171604918,1.685214986758783,7.705673203211949,148.7066666487374,29.71715982652796,317.9999901720433,58600,
bK15D00Q,"2015 DQ",3710713,"       (2015 DQ)",,,N,25.1,,,.3778165650965931,1.711300357764226,22.5759812201128,147.2928626009169,26.6587883008102,348.9130155818181,57070,
bK15D00R,"2015 DR",3710716,"       (2015 DR)",,,N,23.9,,,.4945845569983575,1.286983910263496,5.528241564290457,340.5402228526398,274.2767237978793,315.2555105685476,57072,
bK15D00S,"2015 DS",3710712,"       (2015 DS)",,,N,24.9,,,.2406530791631606,1.340811846134173,3.38937715336902,313.1237992813028,222.74113206633,233.6121956445949,58600,
bK15D00T,"2015 DT",3710714,"       (2015 DT)",,,N,22.9,,,.5560743316948858,2.103188652822734,8.739285746341107,158.6582135007845,45.3630610889473,119.1871555621689,58600,
bK15D00U,"2015 DU",3710715,"       (2015 DU)",,,N,26.6,,,.08749719963428305,1.101744736763827,2.749102914176414,341.7678896128488,155.6340033101292,232.9278680416985,58600,
bK15D01B,"2015 DB1",3710913,"       (2015 DB1)",,,Y,22.1,,,.2546144035652879,1.155399978104424,38.14232093754208,144.4533585838772,242.4606773414803,92.59365226108439,57074,
bK15D01C,"2015 DC1",3710914,"       (2015 DC1)",,,N,24.8,,,.1190245388059956,1.133376030850465,10.60963545717025,326.753401642336,94.67048403622444,240.7438603663032,58600,
bK15D01D,"2015 DD1",3710916,"       (2015 DD1)",,,N,30.4,,,.3246375813355505,1.3561308873087,3.009452739115602,327.8452733866602,134.7495878821586,257.7260003232954,58600,
bK15D01E,"2015 DE1",3710915,"       (2015 DE1)",,,N,23.3,,,.4838081092316554,1.700919006190551,16.84390470158202,147.3026496259744,309.1417651333741,337.5755290754205,58600,
bK15D53N,"2015 DN53",3710917,"       (2015 DN53)",,,N,24.8,,,.5417974690788676,2.325298873298669,5.328214471766991,138.5507728080817,35.9022513674192,353.9427316161118,57071,
bK15D53O,"2015 DO53",3710918,"       (2015 DO53)",,,N,20.8,,,.8974454086365869,2.534216424315241,29.0710072772252,150.8067979438399,217.8991833601449,27.20743937825579,58600,
bK15D53P,"2015 DP53",3710919,"       (2015 DP53)",,,N,24.4,,,.339228137838492,1.473562295735298,10.53805768542794,147.8727599258168,48.36462433165677,98.89057117989272,58600,
bK15D53S,"2015 DS53",3710920,"       (2015 DS53)",,,N,24.2,,,.4452121961080718,1.145685977466682,4.347545302464236,167.7218240392544,93.15046948903661,90.47253867390842,58600,
bK15D53T,"2015 DT53",3710921,"       (2015 DT53)",,,N,25.5,,,.5149906137010855,2.076251616667248,3.758293214161984,344.4255043840009,134.6673744044162,9.547841154454998,57074,
bK15D53Y,"2015 DY53",3711166,"       (2015 DY53)",,,N,21.3,,,.3124559388997881,1.15728653316126,12.03504895682701,338.8704292049822,34.05931073510625,217.0417335250857,58600,
bK15D53Z,"2015 DZ53",3711167,"       (2015 DZ53)",,,N,20.8,,,.8701587342312482,1.510738820743478,8.333588285023394,57.05179461207474,250.6546639328779,328.6131961266508,57072,
bK15D54A,"2015 DA54",3711168,"       (2015 DA54)",,,N,20.8,,,.7825189285404303,2.604848638553756,8.239444642247127,147.3714953772316,246.4574774670615,12.88736132940577,58600,
